opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000015,15,ACC000422,Commande 15,Negociation,14622.13,31.0,2023-11-26,2023-07-21,Reseaux Sociaux,Client Existant - Reduction,26
OPP00000016,16,ACC000231,Commande 16,Closed Won,60934.53,100.0,2023-11-23,2023-09-01,Email,Nouveau Client,18
OPP00000017,17,ACC000308,Commande 17,Negociation,89187.76,61.2,2023-03-08,2022-12-01,Salon du Livre,Nouveau Client,
OPP00000018,18,ACC000878,Commande 18,Negociation,12393.58,30.4,2024-06-08,2024-03-29,Recommandation,Client Existant - Extension,29
OPP00000019,19,ACC000612,Commande 19,Negociation,21128.14,51.1,2023-05-17,2022-07-07,Partenaire,Client Existant - Renouvellement,32
OPP00000020,20,ACC000814,Commande 20,Negociation,63446.98,29.7,2024-07-12,2024-03-14,Reseaux Sociaux,Client Existant - Reduction,
OPP00000021,21,ACC000912,Commande 21,Analyse,7957.78,64.9,2024-12-30,2024-01-26,Site Web,Client Existant - Extension,38
OPP00000022,22,ACC000173,Commande 22,Qualification,11221.02,23.5,2023-07-11,2023-03-31,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000023,23,ACC000990,Commande 23,Closed Won,9364.27,100.0,2022-10-20,2022-05-04,Partenaire,Client Existant - Renouvellement,14
OPP00000024,24,ACC000438,Commande 24,Proposition,52310.16,20.4,2024-03-04,2023-05-30,Partenaire,Client Existant - Extension,39
OPP00000025,25,ACC000752,Commande 25,Qualification,80009.79,55.5,2023-07-18,2022-10-20,Reseaux Sociaux,Client Existant - Renouvellement,48
OPP00000026,26,ACC000253,Commande 26,Proposition,93656.34,19.5,2022-11-14,2022-01-20,Site Web,Nouveau Client,
OPP00000027,27,ACC000469,Commande 27,Closed Won,76466.12,100.0,2022-08-02,2022-03-27,Site Web,Client Existant - Renouvellement,
OPP00000028,28,ACC000178,Commande 28,Analyse,25366.03,49.6,2022-09-20,2021-10-21,Reseaux Sociaux,Client Existant - Reduction,55
OPP00000029,29,ACC000412,Commande 29,Qualification,44605.72,59.0,2023-11-16,2023-03-09,Site Web,Nouveau Client,8
OPP00000030,30,ACC000412,Commande 30,Negociation,35917.05,49.0,2023-11-06,2022-11-22,Partenaire,Client Existant - Renouvellement,6
OPP00000031,31,ACC000954,Commande 31,Closed Won,73860.7,100.0,2022-03-20,2021-07-02,Demarchage,Client Existant - Renouvellement,
OPP00000032,32,ACC000012,Commande 32,Closed Won,50548.34,100.0,2025-04-15,2024-06-04,Site Web,Client Existant - Reduction,
OPP00000033,33,ACC000885,Commande 33,Qualification,47720.86,35.3,2025-02-07,2024-03-20,Site Web,Nouveau Client,39
OPP00000034,34,ACC000413,Commande 34,Qualification,56667.66,48.0,2024-03-15,2023-04-02,Email,Client Existant - Renouvellement,28
OPP00000035,35,ACC000138,Commande 35,Negociation,87363.85,13.1,2022-04-18,2022-02-22,Demarchage,Client Existant - Reduction,80
OPP00000036,36,ACC000663,Commande 36,Closed Won,12627.22,100.0,2022-04-11,2022-02-08,Recommandation,Client Existant - Renouvellement,71
OPP00000037,37,ACC000190,Commande 37,Negociation,64035.02,46.4,2024-05-22,2023-11-12,Recommandation,Client Existant - Reduction,53
OPP00000038,38,ACC000514,Commande 38,Analyse,25819.76,15.0,2023-03-24,2022-12-23,Site Web,Client Existant - Renouvellement,4
OPP00000039,39,ACC000049,Commande 39,Closed Won,34071.9,100.0,2025-04-03,2024-05-25,Email,Client Existant - Extension,
OPP00000040,40,ACC000711,Commande 40,Closed Won,44405.56,100.0,2023-08-02,2023-05-20,Partenaire,Client Existant - Reduction,
OPP00000041,41,ACC000067,Commande 41,Closed Won,14164.92,100.0,2022-07-22,2022-02-26,Site Web,Client Existant - Extension,25
OPP00000042,42,ACC000876,Commande 42,Closed Won,76908.09,100.0,2024-02-11,2023-04-11,Email,Client Existant - Reduction,59
OPP00000043,43,ACC000679,Commande 43,Analyse,29242.18,52.6,2024-01-11,2023-10-03,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000044,44,ACC000733,Commande 44,Qualification,80719.83,67.2,2022-09-13,2022-04-07,Salon du Livre,Client Existant - Extension,
OPP00000045,45,ACC000535,Commande 45,Closed Won,7470.06,100.0,2022-05-23,2021-10-07,Reseaux Sociaux,Client Existant - Extension,
OPP00000046,46,ACC000314,Commande 46,Qualification,19258.85,19.4,2022-11-26,2022-05-21,Partenaire,Client Existant - Extension,56
OPP00000047,47,ACC000339,Commande 47,Closed Won,42207.87,100.0,2024-04-26,2023-07-11,Salon du Livre,Client Existant - Extension,26
OPP00000048,48,ACC000100,Commande 48,Closed Won,78899.15,100.0,2022-09-19,2022-07-19,Demarchage,Client Existant - Reduction,
OPP00000049,49,ACC000002,Commande 49,Closed Won,20839.0,100.0,2024-12-07,2024-09-01,Site Web,Nouveau Client,
OPP00000050,50,ACC000758,Commande 50,Analyse,66983.87,59.5,2024-11-10,2024-06-01,Salon du Livre,Nouveau Client,62
OPP00000051,51,ACC000033,Commande 51,Analyse,48977.05,62.9,2025-07-24,2024-07-28,Email,Nouveau Client,21
OPP00000052,52,ACC000026,Commande 52,Closed Won,11002.65,100.0,2022-10-16,2022-07-11,Partenaire,Client Existant - Reduction,
OPP00000053,53,ACC000293,Commande 53,Negociation,7267.75,28.7,2023-05-07,2022-07-21,Salon du Livre,Client Existant - Extension,73
OPP00000054,54,ACC000073,Commande 54,Closed Won,90197.27,100.0,2022-03-02,2021-06-28,Partenaire,Client Existant - Renouvellement,90
OPP00000055,55,ACC000144,Commande 55,Negociation,26204.75,13.7,2024-02-27,2023-11-16,Site Web,Client Existant - Reduction,
OPP00000056,56,ACC000357,Commande 56,Qualification,45701.33,51.0,2025-02-01,2024-07-27,Partenaire,Client Existant - Reduction,
OPP00000057,57,ACC000443,Commande 57,Closed Won,98834.32,100.0,2023-06-18,2023-04-22,Email,Nouveau Client,
OPP00000058,58,ACC000624,Commande 58,Closed Won,10239.02,100.0,2022-06-27,2022-01-24,Salon du Livre,Client Existant - Reduction,
OPP00000059,59,ACC000415,Commande 59,Proposition,88914.72,49.5,2025-01-30,2024-03-09,Reseaux Sociaux,Client Existant - Reduction,
OPP00000060,60,ACC000303,Commande 60,Closed Won,47287.82,100.0,2023-04-20,2022-06-24,Salon du Livre,Client Existant - Extension,
OPP00000061,61,ACC000089,Commande 61,Analyse,95573.89,26.1,2024-10-09,2024-02-18,Salon du Livre,Client Existant - Extension,60
OPP00000062,62,ACC000659,Commande 62,Closed Won,5215.37,100.0,2025-01-06,2024-04-20,Reseaux Sociaux,Nouveau Client,58
OPP00000063,63,ACC000493,Commande 63,Analyse,89762.97,30.7,2023-03-16,2022-09-29,Partenaire,Client Existant - Renouvellement,
OPP00000064,64,ACC000801,Commande 64,Qualification,21032.54,72.2,2023-12-27,2023-05-01,Recommandation,Nouveau Client,
OPP00000065,65,ACC000705,Commande 65,Proposition,62346.71,17.3,2023-11-24,2023-09-22,Reseaux Sociaux,Client Existant - Reduction,64
OPP00000066,66,ACC000682,Commande 66,Qualification,99305.62,43.2,2023-04-24,2023-03-12,Partenaire,Nouveau Client,
OPP00000067,67,ACC000105,Commande 67,Closed Won,47702.17,100.0,2022-08-12,2022-06-01,Demarchage,Nouveau Client,70
OPP00000068,68,ACC000180,Commande 68,Proposition,85315.93,78.5,2023-11-03,2023-05-06,Email,Client Existant - Extension,19
OPP00000069,69,ACC000899,Commande 69,Proposition,76636.54,40.9,2023-12-26,2023-07-07,Email,Nouveau Client,2
OPP00000070,70,ACC000806,Commande 70,Closed Won,64362.89,100.0,2022-01-06,2021-10-22,Site Web,Client Existant - Renouvellement,
OPP00000071,71,ACC000675,Commande 71,Closed Won,55773.36,100.0,2023-12-21,2023-02-07,Site Web,Nouveau Client,
OPP00000072,72,ACC000619,Commande 72,Analyse,13793.02,60.4,2024-02-11,2023-08-13,Site Web,Client Existant - Extension,49
OPP00000073,73,ACC000086,Commande 73,Closed Won,57592.78,100.0,2023-09-25,2022-12-19,Demarchage,Nouveau Client,53
OPP00000074,74,ACC000402,Commande 74,Negociation,12616.49,45.9,2022-06-05,2022-01-04,Partenaire,Client Existant - Extension,11
OPP00000075,75,ACC000349,Commande 75,Closed Won,8635.19,100.0,2023-05-30,2023-04-05,Salon du Livre,Client Existant - Renouvellement,82
OPP00000076,76,ACC000604,Commande 76,Qualification,5742.47,59.0,2022-06-30,2021-11-22,Salon du Livre,Nouveau Client,59
OPP00000077,77,ACC000337,Commande 77,Negociation,17627.37,29.9,2024-05-03,2023-05-31,Recommandation,Nouveau Client,37
OPP00000078,78,ACC000854,Commande 78,Analyse,52154.81,42.7,2024-04-14,2023-06-16,Salon du Livre,Nouveau Client,
OPP00000079,79,ACC000574,Commande 79,Closed Won,90754.7,100.0,2021-11-21,2021-08-10,Site Web,Client Existant - Extension,65
OPP00000080,80,ACC000379,Commande 80,Qualification,28314.15,11.6,2023-09-13,2023-01-02,Reseaux Sociaux,Client Existant - Reduction,
OPP00000081,81,ACC000830,Commande 81,Closed Won,27074.57,100.0,2023-08-04,2022-11-10,Demarchage,Nouveau Client,35
OPP00000082,82,ACC000038,Commande 82,Qualification,78859.21,53.4,2023-12-26,2023-09-30,Recommandation,Client Existant - Extension,
OPP00000083,83,ACC000886,Commande 83,Closed Won,36935.74,100.0,2024-04-26,2023-11-12,Site Web,Client Existant - Reduction,
OPP00000084,84,ACC000345,Commande 84,Analyse,11146.82,29.2,2022-02-01,2021-07-26,Site Web,Client Existant - Reduction,90
OPP00000085,85,ACC000238,Commande 85,Analyse,84458.23,63.6,2023-12-15,2023-03-01,Reseaux Sociaux,Client Existant - Extension,35
OPP00000086,86,ACC000258,Commande 86,Qualification,77785.18,59.7,2022-02-22,2021-08-19,Email,Client Existant - Extension,30
OPP00000087,87,ACC000042,Commande 87,Negociation,23855.24,53.2,2022-10-21,2022-07-06,Partenaire,Client Existant - Reduction,
OPP00000088,88,ACC000294,Commande 88,Negociation,31108.08,46.6,2025-02-21,2024-02-27,Recommandation,Nouveau Client,84
OPP00000089,89,ACC000459,Commande 89,Qualification,5941.45,53.0,2022-09-23,2022-05-07,Email,Nouveau Client,
OPP00000090,90,ACC000382,Commande 90,Closed Won,9861.34,100.0,2021-10-01,2021-08-16,Reseaux Sociaux,Nouveau Client,40
OPP00000091,91,ACC000176,Commande 91,Closed Won,24018.27,100.0,2023-04-28,2022-10-11,Salon du Livre,Client Existant - Extension,
OPP00000092,92,ACC000036,Commande 92,Closed Won,98678.81,100.0,2023-04-10,2022-05-22,Email,Nouveau Client,
OPP00000093,93,ACC000861,Commande 93,Proposition,19565.89,73.7,2023-07-19,2023-04-09,Demarchage,Client Existant - Renouvellement,
OPP00000094,94,ACC000631,Commande 94,Analyse,29028.98,51.7,2023-06-22,2022-08-13,Email,Client Existant - Reduction,5
OPP00000095,95,ACC000260,Commande 95,Proposition,62661.29,57.9,2024-01-12,2023-06-14,Salon du Livre,Client Existant - Reduction,
OPP00000096,96,ACC000082,Commande 96,Analyse,8264.71,37.8,2023-01-12,2022-01-18,Site Web,Nouveau Client,78
OPP00000097,97,ACC000188,Commande 97,Closed Won,47132.4,100.0,2025-06-06,2024-08-02,Reseaux Sociaux,Client Existant - Reduction,68
OPP00000098,98,ACC000350,Commande 98,Closed Won,34586.98,100.0,2022-06-13,2021-12-21,Site Web,Client Existant - Reduction,
OPP00000099,99,ACC000706,Commande 99,Analyse,71454.28,78.8,2023-01-07,2022-04-15,Partenaire,Client Existant - Reduction,11
OPP00000100,100,ACC000452,Commande 100,Qualification,67082.53,43.6,2023-02-27,2022-06-21,Email,Nouveau Client,80
OPP00000101,101,ACC000926,Commande 101,Analyse,22856.58,35.5,2025-02-24,2024-08-16,Recommandation,Client Existant - Renouvellement,
OPP00000102,102,ACC000471,Commande 102,Proposition,82380.84,52.1,2023-09-30,2022-09-30,Salon du Livre,Client Existant - Renouvellement,81
OPP00000103,103,ACC000008,Commande 103,Analyse,88930.71,19.6,2023-10-09,2023-07-29,Partenaire,Nouveau Client,14
OPP00000104,104,ACC000174,Commande 104,Negociation,81928.36,53.6,2023-06-22,2023-03-30,Email,Client Existant - Extension,79
OPP00000105,105,ACC000834,Commande 105,Closed Won,39743.97,100.0,2022-05-22,2021-07-13,Demarchage,Nouveau Client,
OPP00000106,106,ACC000020,Commande 106,Negociation,24969.22,32.7,2024-07-09,2024-01-02,Site Web,Client Existant - Extension,
OPP00000107,107,ACC000150,Commande 107,Closed Won,22468.38,100.0,2023-08-29,2023-07-06,Demarchage,Client Existant - Extension,47
OPP00000108,108,ACC000697,Commande 108,Analyse,22534.72,75.3,2024-05-13,2024-02-13,Recommandation,Client Existant - Reduction,27
OPP00000109,109,ACC000763,Commande 109,Qualification,44005.04,53.8,2024-04-25,2024-03-05,Recommandation,Nouveau Client,41
OPP00000110,110,ACC000769,Commande 110,Proposition,12526.87,32.2,2023-09-15,2022-12-12,Salon du Livre,Nouveau Client,
OPP00000111,111,ACC000492,Commande 111,Analyse,29341.62,49.2,2023-10-19,2023-02-01,Site Web,Client Existant - Extension,67
OPP00000112,112,ACC000663,Commande 112,Negociation,50496.66,64.5,2023-04-26,2023-03-14,Email,Client Existant - Renouvellement,55
OPP00000113,113,ACC000109,Commande 113,Analyse,98978.97,72.5,2022-05-15,2022-02-08,Partenaire,Client Existant - Renouvellement,70
OPP00000114,114,ACC000098,Commande 114,Qualification,19320.46,37.0,2022-11-27,2022-10-19,Site Web,Client Existant - Renouvellement,
OPP00000115,115,ACC000083,Commande 115,Closed Won,62032.81,100.0,2023-10-22,2023-05-26,Recommandation,Client Existant - Reduction,37
OPP00000116,116,ACC000718,Commande 116,Closed Won,92088.85,100.0,2024-10-09,2023-10-23,Recommandation,Nouveau Client,73
OPP00000117,117,ACC000911,Commande 117,Closed Won,19263.67,100.0,2025-01-13,2024-05-28,Partenaire,Client Existant - Extension,
OPP00000118,118,ACC000658,Commande 118,Analyse,35440.8,77.7,2024-12-10,2024-03-02,Recommandation,Client Existant - Extension,46
OPP00000119,119,ACC000215,Commande 119,Closed Won,21314.15,100.0,2024-01-23,2023-03-28,Demarchage,Client Existant - Renouvellement,67
OPP00000120,120,ACC000108,Commande 120,Closed Won,59273.89,100.0,2022-08-15,2022-06-29,Recommandation,Client Existant - Reduction,
OPP00000121,121,ACC000538,Commande 121,Negociation,34319.27,53.9,2023-11-23,2023-03-01,Reseaux Sociaux,Client Existant - Renouvellement,4
OPP00000122,122,ACC000743,Commande 122,Qualification,88562.49,54.0,2024-01-27,2023-07-19,Site Web,Nouveau Client,98
OPP00000123,123,ACC000798,Commande 123,Closed Won,38812.32,100.0,2023-02-14,2022-11-06,Demarchage,Client Existant - Reduction,88
OPP00000124,124,ACC000664,Commande 124,Analyse,94286.41,79.6,2023-08-03,2023-03-30,Demarchage,Client Existant - Renouvellement,
OPP00000125,125,ACC000585,Commande 125,Proposition,80622.96,34.5,2024-06-27,2023-12-12,Email,Client Existant - Extension,64
OPP00000126,126,ACC000073,Commande 126,Analyse,44980.18,49.3,2024-04-02,2023-10-30,Site Web,Client Existant - Renouvellement,6
OPP00000127,127,ACC000977,Commande 127,Analyse,51980.29,39.2,2024-05-07,2023-09-27,Recommandation,Nouveau Client,18
OPP00000128,128,ACC000747,Commande 128,Qualification,34129.42,59.5,2024-12-16,2024-05-27,Site Web,Client Existant - Reduction,58
OPP00000129,129,ACC000773,Commande 129,Negociation,13900.32,67.7,2023-09-22,2022-10-03,Site Web,Client Existant - Extension,
OPP00000130,130,ACC000257,Commande 130,Closed Won,46248.61,100.0,2024-02-09,2023-02-28,Demarchage,Client Existant - Extension,
OPP00000131,131,ACC000595,Commande 131,Negociation,20044.18,65.8,2024-04-28,2024-01-06,Email,Client Existant - Renouvellement,46
OPP00000132,132,ACC000674,Commande 132,Proposition,39702.14,24.5,2024-12-19,2024-03-12,Site Web,Nouveau Client,13
OPP00000133,133,ACC000541,Commande 133,Qualification,49945.78,34.3,2022-08-14,2021-08-17,Site Web,Client Existant - Extension,95
OPP00000134,134,ACC000375,Commande 134,Closed Won,90067.89,100.0,2023-09-16,2022-12-02,Site Web,Client Existant - Extension,
OPP00000135,135,ACC000896,Commande 135,Closed Won,4649.47,100.0,2023-09-27,2023-05-01,Salon du Livre,Nouveau Client,
OPP00000136,136,ACC000857,Commande 136,Negociation,51699.5,14.3,2024-08-05,2023-11-22,Recommandation,Nouveau Client,27
OPP00000137,137,ACC000044,Commande 137,Closed Won,98318.08,100.0,2023-04-07,2023-02-04,Email,Client Existant - Renouvellement,93
OPP00000138,138,ACC000466,Commande 138,Closed Won,28204.83,100.0,2023-02-09,2022-03-22,Site Web,Client Existant - Reduction,54
OPP00000139,139,ACC000811,Commande 139,Proposition,2304.54,59.5,2024-06-08,2024-01-08,Salon du Livre,Client Existant - Renouvellement,
OPP00000140,140,ACC000297,Commande 140,Qualification,21030.35,17.3,2022-05-20,2022-03-19,Partenaire,Client Existant - Renouvellement,3
OPP00000141,141,ACC000852,Commande 141,Closed Won,54743.45,100.0,2023-02-17,2022-12-19,Demarchage,Client Existant - Reduction,
OPP00000142,142,ACC000158,Commande 142,Qualification,11087.15,68.6,2021-12-13,2021-10-29,Salon du Livre,Client Existant - Renouvellement,58
OPP00000143,143,ACC000385,Commande 143,Closed Won,33114.49,100.0,2024-04-16,2023-06-19,Partenaire,Client Existant - Renouvellement,
OPP00000144,144,ACC000857,Commande 144,Analyse,44479.17,68.0,2021-12-17,2021-08-28,Reseaux Sociaux,Client Existant - Extension,
OPP00000145,145,ACC000348,Commande 145,Qualification,68739.97,20.4,2022-01-09,2021-10-22,Demarchage,Client Existant - Renouvellement,
OPP00000146,146,ACC000639,Commande 146,Negociation,60362.18,11.2,2022-03-23,2022-01-04,Demarchage,Client Existant - Renouvellement,30
OPP00000147,147,ACC000033,Commande 147,Analyse,3896.83,18.5,2023-09-30,2023-01-07,Partenaire,Nouveau Client,7
OPP00000148,148,ACC000658,Commande 148,Analyse,21281.43,49.3,2024-12-27,2024-04-17,Partenaire,Client Existant - Renouvellement,12
OPP00000149,149,ACC000864,Commande 149,Analyse,12683.3,73.4,2024-09-11,2023-09-25,Email,Client Existant - Reduction,17
OPP00000150,150,ACC000640,Commande 150,Negociation,24676.75,18.6,2025-01-24,2024-09-05,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000151,151,ACC000624,Commande 151,Closed Won,95792.63,100.0,2022-03-20,2021-09-11,Email,Nouveau Client,87
OPP00000152,152,ACC000907,Commande 152,Negociation,61590.12,66.6,2022-07-14,2022-02-12,Partenaire,Client Existant - Reduction,
OPP00000153,153,ACC000842,Commande 153,Qualification,60154.42,63.2,2023-08-18,2022-11-24,Email,Client Existant - Renouvellement,73
OPP00000154,154,ACC000102,Commande 154,Closed Won,25204.52,100.0,2024-02-14,2023-04-06,Salon du Livre,Client Existant - Extension,29
OPP00000155,155,ACC000932,Commande 155,Qualification,16496.88,34.8,2022-07-25,2022-02-10,Site Web,Client Existant - Extension,
OPP00000156,156,ACC000384,Commande 156,Proposition,58156.79,31.5,2024-12-15,2024-01-04,Demarchage,Client Existant - Reduction,99
OPP00000157,157,ACC000164,Commande 157,Qualification,42138.15,69.8,2022-12-22,2022-09-16,Site Web,Client Existant - Reduction,66
OPP00000158,158,ACC000979,Commande 158,Closed Won,70087.19,100.0,2022-06-16,2022-04-11,Recommandation,Client Existant - Extension,61
OPP00000159,159,ACC000426,Commande 159,Analyse,15991.5,32.5,2024-11-27,2024-03-31,Reseaux Sociaux,Client Existant - Reduction,96
OPP00000160,160,ACC000057,Commande 160,Analyse,33260.48,45.6,2022-08-01,2022-06-27,Salon du Livre,Client Existant - Renouvellement,22
OPP00000161,161,ACC000875,Commande 161,Closed Won,67231.37,100.0,2025-02-16,2024-08-12,Demarchage,Client Existant - Renouvellement,
OPP00000162,162,ACC000690,Commande 162,Closed Won,93351.11,100.0,2024-08-16,2024-07-12,Demarchage,Client Existant - Extension,
OPP00000163,163,ACC000728,Commande 163,Closed Won,92455.32,100.0,2023-10-17,2023-07-27,Demarchage,Client Existant - Extension,48
OPP00000164,164,ACC000288,Commande 164,Qualification,89350.97,50.6,2021-12-15,2021-11-04,Email,Nouveau Client,91
OPP00000165,165,ACC000705,Commande 165,Closed Won,28731.57,100.0,2022-06-22,2021-09-19,Partenaire,Client Existant - Renouvellement,80
OPP00000166,166,ACC000826,Commande 166,Negociation,9483.75,30.1,2024-04-25,2024-02-05,Partenaire,Client Existant - Renouvellement,54
OPP00000167,167,ACC000048,Commande 167,Proposition,41475.54,68.1,2023-11-16,2023-08-08,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000168,168,ACC000151,Commande 168,Closed Won,77832.76,100.0,2023-04-30,2023-01-05,Email,Client Existant - Extension,46
OPP00000169,169,ACC000440,Commande 169,Closed Won,61465.35,100.0,2022-11-15,2022-07-09,Salon du Livre,Nouveau Client,
OPP00000170,170,ACC000658,Commande 170,Negociation,20809.05,77.7,2025-07-07,2024-08-19,Recommandation,Nouveau Client,79
OPP00000171,171,ACC000963,Commande 171,Closed Won,21472.02,100.0,2025-05-07,2024-08-07,Partenaire,Client Existant - Extension,81
OPP00000172,172,ACC000282,Commande 172,Closed Won,6877.74,100.0,2022-03-04,2021-06-08,Reseaux Sociaux,Client Existant - Extension,5
OPP00000173,173,ACC000686,Commande 173,Closed Won,98473.16,100.0,2022-11-01,2022-03-28,Demarchage,Client Existant - Renouvellement,31
OPP00000174,174,ACC000031,Commande 174,Analyse,71732.67,26.3,2023-07-19,2023-02-26,Recommandation,Client Existant - Extension,45
OPP00000175,175,ACC000275,Commande 175,Closed Won,16770.07,100.0,2024-08-09,2023-10-05,Reseaux Sociaux,Client Existant - Reduction,54
OPP00000176,176,ACC000960,Commande 176,Qualification,94423.06,63.8,2025-02-24,2024-04-13,Email,Client Existant - Extension,66
OPP00000177,177,ACC000732,Commande 177,Closed Won,37079.48,100.0,2024-02-18,2024-01-19,Partenaire,Nouveau Client,39
OPP00000178,178,ACC000750,Commande 178,Closed Won,96447.87,100.0,2024-02-09,2023-03-27,Demarchage,Nouveau Client,
OPP00000179,179,ACC000180,Commande 179,Analyse,99667.3,58.3,2022-06-01,2021-08-16,Site Web,Client Existant - Extension,
OPP00000180,180,ACC000162,Commande 180,Qualification,90659.91,77.1,2021-10-19,2021-08-19,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000181,181,ACC000795,Commande 181,Analyse,87251.41,28.4,2024-06-15,2023-08-30,Partenaire,Nouveau Client,11
OPP00000182,182,ACC000685,Commande 182,Analyse,2654.19,12.9,2025-04-20,2024-08-09,Salon du Livre,Nouveau Client,
OPP00000183,183,ACC000353,Commande 183,Closed Won,14154.79,100.0,2023-12-13,2022-12-26,Salon du Livre,Client Existant - Renouvellement,
OPP00000184,184,ACC000890,Commande 184,Closed Won,94174.09,100.0,2022-04-16,2021-11-19,Partenaire,Client Existant - Renouvellement,100
OPP00000185,185,ACC000876,Commande 185,Closed Won,27357.69,100.0,2024-06-11,2023-07-12,Partenaire,Client Existant - Renouvellement,26
OPP00000186,186,ACC000844,Commande 186,Qualification,4626.66,15.0,2022-02-27,2021-06-02,Demarchage,Nouveau Client,98
OPP00000187,187,ACC000299,Commande 187,Closed Won,59038.36,100.0,2025-01-09,2024-01-27,Site Web,Nouveau Client,3
OPP00000188,188,ACC000947,Commande 188,Closed Won,15329.44,100.0,2023-03-07,2022-10-03,Reseaux Sociaux,Client Existant - Reduction,
OPP00000189,189,ACC000040,Commande 189,Analyse,37882.71,29.5,2021-08-21,2021-06-03,Site Web,Client Existant - Renouvellement,95
OPP00000190,190,ACC000291,Commande 190,Qualification,78200.7,16.6,2022-11-24,2021-12-11,Demarchage,Nouveau Client,
OPP00000191,191,ACC000450,Commande 191,Closed Won,13672.1,100.0,2023-06-24,2023-03-22,Site Web,Client Existant - Renouvellement,
OPP00000192,192,ACC000826,Commande 192,Closed Won,31229.13,100.0,2024-10-28,2024-03-30,Salon du Livre,Client Existant - Extension,40
OPP00000193,193,ACC000547,Commande 193,Qualification,83520.84,46.3,2024-06-18,2024-05-05,Partenaire,Client Existant - Renouvellement,
OPP00000194,194,ACC000939,Commande 194,Closed Won,84776.91,100.0,2023-07-02,2022-08-17,Recommandation,Client Existant - Reduction,
OPP00000195,195,ACC000595,Commande 195,Analyse,21934.77,25.9,2024-07-19,2023-09-14,Recommandation,Client Existant - Renouvellement,
OPP00000196,196,ACC000358,Commande 196,Analyse,66365.66,18.9,2021-08-05,2021-06-06,Partenaire,Client Existant - Renouvellement,43
OPP00000197,197,ACC000418,Commande 197,Proposition,22620.99,49.7,2025-02-06,2024-06-20,Demarchage,Client Existant - Extension,50
OPP00000198,198,ACC000796,Commande 198,Negociation,60955.3,53.7,2023-09-20,2022-10-31,Recommandation,Client Existant - Extension,
OPP00000199,199,ACC000708,Commande 199,Closed Won,34671.86,100.0,2025-04-06,2024-04-08,Salon du Livre,Client Existant - Reduction,
OPP00000200,200,ACC000001,Commande 200,Closed Won,44151.74,100.0,2023-10-18,2023-08-10,Reseaux Sociaux,Nouveau Client,18
OPP00000201,201,ACC000758,Commande 201,Qualification,5687.99,19.4,2023-11-05,2023-03-14,Partenaire,Nouveau Client,69
OPP00000202,202,ACC000749,Commande 202,Negociation,72828.6,12.8,2022-12-12,2022-09-12,Email,Client Existant - Reduction,38
OPP00000203,203,ACC000163,Commande 203,Analyse,77197.87,63.0,2022-12-26,2022-01-23,Email,Nouveau Client,
OPP00000204,204,ACC000523,Commande 204,Closed Won,34307.01,100.0,2024-05-02,2023-09-26,Email,Client Existant - Reduction,5
